app_url,transparency_page,ccn
https://apps.para-hcfs.com/PTT/FinalLinks/Southern_Coos_V2.aspx,https://southerncoos.org/,381304
https://apps.para-hcfs.com/PTT/FinalLinks/Sweeny_V3.aspx,https://sweenyhospital.org/,451311
https://apps.para-hcfs.com/PTT/FinalLinks/Stoughton_V2.aspx,https://stoughtonhealth.com/pay-bill-online/,521343
https://apps.para-hcfs.com/PTT/FinalLinks/Wilbarger_V3.aspx,https://wghospital.com/,450584
https://apps.para-hcfs.com/PTT/FinalLinks/FMOLHS_Francis_V3.aspx,https://stfran.com/patients-and-visitors/for-patients/pricing-transparency,050104
https://apps.para-hcfs.com/PTT/FinalLinks/Cedar_Rapids_V3.aspx,https://www.mercycare.org/patients/billing-insurance/pricing-transparency/patient-price-information-list/,220066
https://apps.para-hcfs.com/PTT/FinalLinks/WestPark_V2.aspx,https://www.codyregionalhealth.com/patients-visitors/financial-services/,531312
https://apps.para-hcfs.com/PTT/FinalLinks/FMOLHS_Lady_of_the_Lake_V3.aspx,https://ololrmc.com/patients-and-visitors/for-patients/pricing-transparency,190064
https://apps.para-hcfs.com/PTT/FinalLinks/Minneola_V2.aspx,https://minneolahealth.com/price-transparency/,171368
https://apps.para-hcfs.com/PTT/FinalLinks/Hermann_V3.aspx,https://www.hadh.org/,261314
https://apps.para-hcfs.com/PTT/FinalLinks/BH_Lexington_V2.aspx,https://www.health-improve.org/baptist-health-lexington-financial-assistance/,187104
https://apps.para-hcfs.com/PTT/FinalLinks/Clay_V2.aspx,http://www.ccmcks.org/pricetransparency.php,250067
https://apps.para-hcfs.com/PTT/FinalLinks/Harlan_V2.aspx,https://harlancountyhealth.com/,281300
https://apps.para-hcfs.com/PTT/FinalLinks/Kearney_V3.aspx,https://www.bryanhealth.com/locations/physician-offices/profile/platte-valley-medical-clinic/,060004
https://apps.para-hcfs.com/PTT/FinalLinks/Rockcastle_V2.aspx,https://www.rockcastleregional.org/financial-services,180115
https://apps.para-hcfs.com/PTT/FinalLinks/York_V2.aspx,https://www.yorkgeneral.org/,281336
https://apps.para-hcfs.com/PTT/FinalLinks/FMOLHS_Assumption_V3.aspx,https://ololrmc.com/patients-and-visitors/for-patients/pricing-transparency,191303
https://apps.para-hcfs.com/PTT/FinalLinks/Knoxville_V3.aspx,https://www.list-doctor.info/knoxville-hospital-iowa/,161355
https://apps.para-hcfs.com/PTT/FinalLinks/Piggottcommunity.aspx,http://piggotthealthsystem.com/cost-of-care/,047031
https://apps.para-hcfs.com/PTT/FinalLinks/DecaturHealth_V3.aspx,https://www.decaturhealth.org/,171352
https://apps.para-hcfs.com/PTT/FinalLinks/ArnotOgden_V2.aspx,https://www.arnothealth.org/hospital-pricing,330090
https://apps.para-hcfs.com/PTT/FinalLinks/Pioneer_V2.aspx,https://pmcmt.org/patients/price-transparency,271233
https://apps.para-hcfs.com/PTT/FinalLinks/Johnson_V3.aspx,https://www.johnsonmemorial.org/request-price-estimate,070008
https://apps.para-hcfs.com/PTT/FinalLinks/Daviess_V2.aspx,https://www.dchosp.org/,150061
https://apps.para-hcfs.com/PTT/FinalLinks/Kittitas.aspx,https://www.kvhealthcare.org/patients-and-visitors/billing/,500110
https://apps.para-hcfs.com/PTT/FinalLinks/Wilson_V2.aspx,http://www.wmcrc.org/getpage.php?name=Pricing&sub=Patients%2FVisitors,340126
https://apps.para-hcfs.com/PTT/FinalLinks/Wichita_V2.aspx,https://www.wichitacountyhealthcenter.com/getpage.php?name=Hospital_Standard_Charges,171306
https://apps.para-hcfs.com/PTT/FinalLinks/South_Shore_V2.aspx,https://www.southshorehospital.com/,220100
https://apps.para-hcfs.com/PTT/FinalLinks/Winston_V3.aspx,https://www.winstonmedical.org/price-transparency/,250027
https://apps.para-hcfs.com/PTT/FinalLinks/AmericanAdvancedSonoma.aspx,https://sonomaspecialtyhospital.org/,052057
https://apps.para-hcfs.com/PTT/FinalLinks/Nemaha_Valley_V2.aspx,https://nemvch.com/hospital-pricing-charges/,171315
https://apps.para-hcfs.com/PTT/FinalLinks/SheridanMemorial_V2.aspx,https://www.sheridanmemorial.net/,530006
https://apps.para-hcfs.com/PTT/FinalLinks/OakValley_V2.aspx,https://oakvalleyhospital.com/,050067
https://apps.para-hcfs.com/PTT/FinalLinks/Wiregrass_V3.aspx,https://www.wiregrassmedicalcenter.org/,010062
https://apps.para-hcfs.com/PTT/FinalLinks/South_Lincoln_V3.aspx,https://www.southlincolnmedical.com/,531315
https://apps.para-hcfs.com/PTT/FinalLinks/AmericanAdvancedGlenn.aspx,https://gmcmed.org/our-standard-charges/,050092
https://apps.para-hcfs.com/PTT/FinalLinks/Shenandoah_V2.aspx,https://smchospital.com/pricing/,161366
https://apps.para-hcfs.com/PTT/FinalLinks/Caribou_V3.aspx,https://cariboumc.org/services/paymentcounselling/,131309
https://apps.para-hcfs.com/PTT/FinalLinks/Perham_V2.aspx,https://www.perhamhealth.org/billing-financial-information/,241373
https://apps.para-hcfs.com/PTT/FinalLinks/Quincy_V2.aspx,https://www.quincyhospital.org/patients/business-office/price-transparency,501320
https://apps.para-hcfs.com/PTT/FinalLinks/Roseland_V2.aspx,https://www.roselandhospital.org/cost-of-care-estimate/,140068
https://apps.para-hcfs.com/PTT/FinalLinks/Sampson_V2.aspx,https://www.ncha.org/hospital-price-transparency/,340024
https://apps.para-hcfs.com/PTT/FinalLinks/Satanta_V2.aspx,https://www.satantahospital.net/,170139
https://apps.para-hcfs.com/PTT/FinalLinks/Magruder_V2.aspx,https://www.magruderhospital.com/patients-visitors/financial-information/pricing/,361314
https://apps.para-hcfs.com/PTT/FinalLinks/BH_Madisonville_V2.aspx,https://baptisthealthdeaconess.com/Billing/Price-Transparency,180093
https://apps.para-hcfs.com/PTT/FinalLinks/Osmond_V3.aspx,https://osmondhospital.org/,281347
https://apps.para-hcfs.com/PTT/FinalLinks/BH_Floyd_V2.aspx,https://www.baptisthealth.com/locations/baptist-health-floyd/about/price-transparency,150044
https://apps.para-hcfs.com/PTT/FinalLinks/Fayette_V3.aspx,https://www.sblfch.org/about/hospital-charges/,140045
