mrf_url,transparency_page,ccn
https://apps.para-hcfs.com/PTT/FinalLinks/Bartlett.aspx,https://www.bartletthospital.org/,"020008"
https://apps.para-hcfs.com/PTT/FinalLinks/Blair_V2.aspx,https://mchhs.org/price-transparency/,"281359"
https://apps.para-hcfs.com/PTT/FinalLinks/ChineseCounty_V4.aspx,https://chinesehospital-sf.org/,"050407"
https://apps.para-hcfs.com/PTT/FinalLinks/CloudCounty_V3.aspx,https://www.cchc.com/patients_and_visitors/patient-portal.php,"170095"
https://apps.para-hcfs.com/PTT/FinalLinks/CrossingRivers_V2.aspx,https://www.crossingrivers.org/patients-and-visitors/billing-and-pricing-information/,"521330"
https://apps.para-hcfs.com/PTT/FinalLinks/Daniels_V3.aspx,https://www.danielsmemorialhealthcare.org/financial-assistance/,"271342"
https://apps.para-hcfs.com/PTT/FinalLinks/East_Carroll_Parish_V3.aspx,https://www.ecphospital.com/,"190208"
https://apps.para-hcfs.com/PTT/FinalLinks/FHN-IL_V3.aspx,https://www.fhn.org/estimates-pricing.asp,"140160"
https://apps.para-hcfs.com/PTT/FinalLinks/Fairbanks_V2.aspx,https://www.foundationhealth.org/patients_and_visitors/bill_pay/price_transparency,"020012"
https://apps.para-hcfs.com/PTT/FinalLinks/Fayette_V3.aspx,https://www.sblfch.org/about/hospital-charges/,"140045"
https://apps.para-hcfs.com/PTT/FinalLinks/Frances_Mahon_V4.aspx,https://www.fmdh.org/patients-visitor-information/financial-resources/price-transparency-information/,"271316"
https://apps.para-hcfs.com/PTT/FinalLinks/Fredonia_V3.aspx,https://frh1.org/,170018
https://apps.para-hcfs.com/PTT/FinalLinks/Greenwood_V3.aspx,https://www.gwch.org/,170032
https://apps.para-hcfs.com/PTT/FinalLinks/Guthrie_V3.aspx,https://guthriecountyhospital.org/,161314
https://apps.para-hcfs.com/PTT/FinalLinks/Hancock_V3.aspx,https://www.hancockregionalhospital.org/,441313
https://apps.para-hcfs.com/PTT/FinalLinks/Hillsboro_V2.aspx,https://www.hillsboroareahospital.org/patient-billing/hospital-standard-charges/,141332
https://apps.para-hcfs.com/PTT/FinalLinks/Hodgeman_V3.aspx,https://hchconline.org/,"171369"
https://apps.para-hcfs.com/PTT/FinalLinks/Holland_V4.aspx,https://www.hollandhospital.org/,230072
https://apps.para-hcfs.com/PTT/FinalLinks/Holton_V3.aspx,https://holtonhospital.com/hospital-care/hospital-pricing-charges/,171319
https://apps.para-hcfs.com/PTT/FinalLinks/Huron_V3.aspx,https://www.huronregional.org/,431335
https://apps.para-hcfs.com/PTT/FinalLinks/Jefferson_V3.aspx,https://jeffersonhealthcare.org/pricing-resources/,501323
https://apps.para-hcfs.com/PTT/FinalLinks/Jewell_V3.aspx,"https://www.jewellcohospital.org/",171309
https://apps.para-hcfs.com/PTT/FinalLinks/Kiowa_V2.aspx,"https://www.kchd.org/",061300
https://apps.para-hcfs.com/PTT/FinalLinks/LarkinCommunity.aspx,https://larkinhealth.com/en/patients-visitors/price-transparency-statement/,"100181"
https://apps.para-hcfs.com/PTT/FinalLinks/LarkinHollywood.aspx,https://larkinhealth.com/en/patients-visitors/price-transparency-statement/,"104079"
https://apps.para-hcfs.com/PTT/FinalLinks/LarkinPalmSprings.aspx,https://larkinhealth.com/en/patients-visitors/price-transparency-statement/,"100050"
https://apps.para-hcfs.com/PTT/FinalLinks/LifeCare_V3.aspx,https://lifecaremedicalcenter.org/,241344
https://apps.para-hcfs.com/PTT/FinalLinks/Lindsborg_V3.aspx,https://www.lindsborghospital.org/patients.php,171358
https://apps.para-hcfs.com/PTT/FinalLinks/Madelia_V2.aspx,https://www.madeliahealth.org/patient-financial-information/,247202
https://apps.para-hcfs.com/PTT/FinalLinks/Madison_V2.aspx,https://www.madisonhealth.com/financial-assistance/patient-billing/,160052
https://apps.para-hcfs.com/PTT/FinalLinks/Madonna_Lincoln_V2.aspx,https://www.madonna.org/patient-resources/patient-financial-services,285004
https://apps.para-hcfs.com/PTT/FinalLinks/Madonna_Omaha_V2.aspx,https://www.madonna.org/patient-resources/patient-financial-services,283026
https://apps.para-hcfs.com/PTT/FinalLinks/Major_V2.aspx,https://www.mymhp.org/patients-guests/patient-resources/patient-portal/,150097
https://apps.para-hcfs.com/PTT/FinalLinks/Manning_V2.aspx,https://www.mrhcia.com/,161332
https://apps.para-hcfs.com/PTT/FinalLinks/MemorialSeward_V3.aspx,https://www.mhcs.us/,230121
https://apps.para-hcfs.com/PTT/FinalLinks/Mitchell_V3.aspx,https://www.mchks.com/,171375
https://apps.para-hcfs.com/PTT/FinalLinks/Morris_V3.aspx,https://www.morrishospital.org/patients-visitors/patients/billing-insurance/,140101
https://apps.para-hcfs.com/PTT/FinalLinks/Morrow_V3.aspx,https://www.morrowcountyhospital.com/cost-of-services,361313
https://apps.para-hcfs.com/PTT/FinalLinks/Myrtue_V3.aspx,https://www.myrtuemedical.org/patients-visitors/pricing-information/,161374
https://apps.para-hcfs.com/PTT/FinalLinks/Natividad_V2.aspx,https://www.natividad.com/insurance-and-billing/,050248
https://apps.para-hcfs.com/PTT/FinalLinks/Neshoba_V3.aspx,https://www.neshobageneral.com/,250043
https://apps.para-hcfs.com/PTT/FinalLinks/Pondera_V2.aspx,https://www.logan.org/health/locations/logan-health-conrad/billing-and-payments,271324
https://apps.para-hcfs.com/PTT/FinalLinks/Orchard_V2.aspx,https://www.orchardhospital.com/,"051311"
https://apps.para-hcfs.com/PTT/FinalLinks/Ottawa_V3.aspx,http://www.ottawacountyhealthcenter.com/Patient-Information.html,171328
https://apps.para-hcfs.com/PTT/FinalLinks/Phelps_V2.aspx,https://www.phelpsmemorial.com/,281362
https://apps.para-hcfs.com/PTT/FinalLinks/Phillips_V3.aspx,https://www.phillipshospital.org/,171353
https://apps.para-hcfs.com/PTT/FinalLinks/Pulaski_V3.aspx,https://www.pmhnet.com/,151305
https://apps.para-hcfs.com/PTT/FinalLinks/Redlands_V3.aspx,https://www.redlandshospital.org/patient-visitors/for-patients/insurance-billing/pricing-transparency-charge-description-master/,"050272"
https://apps.para-hcfs.com/PTT/FinalLinks/Refugio_V2.aspx,https://refugiohospital.com/,451317
https://apps.para-hcfs.com/PTT/FinalLinks/RW_V2.aspx,https://www.rwhs.org/about-your-bill,280061
https://apps.para-hcfs.com/PTT/FinalLinks/RegionalWestGarden.aspx,https://gchealth.org/,281310
https://apps.para-hcfs.com/PTT/FinalLinks/Rochelle_V3.aspx,https://www.rochellehospital.com/patients-and-visitors/billing-insurance/price-estimator/,141312
https://apps.para-hcfs.com/PTT/FinalLinks/Russell_V3.aspx,"https://www.russellcohospital.org/getpage.php?name=patientinfo&sub=Patients%20%26%20Visitors",490002
https://apps.para-hcfs.com/PTT/FinalLinks/Sabetha_V3.aspx,https://www.sabethahospital.com/,171338
https://apps.para-hcfs.com/PTT/FinalLinks/Salina_V3.aspx,https://www.srhc.com/patients-and-visitors/,170012
https://apps.para-hcfs.com/PTT/FinalLinks/SarahBush_V3.aspx,https://www.sarahbush.org/onlinebillpay/,140189
https://apps.para-hcfs.com/PTT/FinalLinks/Seiling_V3.aspx,https://www.seilingmunicipalhospital.org/,370177
https://apps.para-hcfs.com/PTT/FinalLinks/Seneca_V4.aspx,https://senecahospital.org/clinic/,"051327"
https://apps.para-hcfs.com/PTT/FinalLinks/Sheridan_V3.aspx,https://www.sheridanhospital.org/billing-services/patient-cost-estimator/,530006
https://apps.para-hcfs.com/PTT/FinalLinks/SierraVista_V3.aspx,https://www.svhnm.org/,"321300"
https://apps.para-hcfs.com/PTT/FinalLinks/Skyline_V2.aspx,https://myskylinehealth.org/patients-and-visitors/billing-information/,501315
https://apps.para-hcfs.com/PTT/FinalLinks/SonomaValley_V4.aspx,https://www.sonomavalleyhospital.org/,"050090"
https://apps.para-hcfs.com/PTT/FinalLinks/SouthPeninsula_V2.aspx,https://www.sphosp.org/for-patients/pricing-and-estimates/,"020014"
https://apps.para-hcfs.com/PTT/FinalLinks/StClaire_V2.aspx,https://www.st-claire.org/patients-visitors/pricing/,185430
https://apps.para-hcfs.com/PTT/FinalLinks/StDominics.aspx,https://www.stdom.com/patients-and-visitors/patient-guide/pricing,250048
https://apps.para-hcfs.com/PTT/FinalLinks/St_Anthony_V3.aspx,https://www.stanthonyhospital.org/patients-visitors/patients/price-list-of-services/,160005
https://apps.para-hcfs.com/PTT/FinalLinks/Swisher_V3.aspx,https://www.swisherhospital.com/,451349
https://apps.para-hcfs.com/PTT/FinalLinks/TahoeForest_V3.aspx,https://www.tfhd.com/,"051328"
https://apps.para-hcfs.com/PTT/FinalLinks/Taylor_V3.aspx,https://www.trhosp.org/,180087
https://apps.para-hcfs.com/PTT/FinalLinks/TriValley_V3.aspx,https://www.trivalleyhealth.com/,281348
https://apps.para-hcfs.com/PTT/FinalLinks/Woodlawn_V3.aspx,https://www.woodlawnhospital.com/getpage.php?name=index,150111
https://apps.para-hcfs.com/PTT/FinalLinks/Yoakum_V2.aspx,https://www.yoakumhospital.org/about-yoakum-hospital/pricingtransparency/,451346
https://apps.para-hcfs.com/PTT/FinalLinks/Yukon_V2.aspx,https://www.ykhc.org/,"025037"
