app_url,transparency_page,ccn,name
https://apps.para-hcfs.com/PTT/FinalLinks/Bartlett.aspx,https://www.bartletthospital.org/,020008,BARTLETT REGIONAL HOSPITAL
https://apps.para-hcfs.com/PTT/FinalLinks/Blair_V2.aspx,https://mchhs.org/price-transparency/,281359,MEMORIAL COMMUNITY HOSPITAL & HEALTH SYSTEM
https://apps.para-hcfs.com/PTT/FinalLinks/ChineseCounty_V4.aspx,https://chinesehospital-sf.org/,050407,CHINESE HOSPITAL
https://apps.para-hcfs.com/PTT/FinalLinks/CloudCounty_V3.aspx,https://www.cchc.com/patients_and_visitors/patient-portal.php,170095,CLOUD COUNTY HEALTH CENTER
https://apps.para-hcfs.com/PTT/FinalLinks/CrossingRivers_V2.aspx,https://www.crossingrivers.org/patients-and-visitors/billing-and-pricing-information/,521330,CROSSING RIVERS HEALTH MEDICAL CENTER
https://apps.para-hcfs.com/PTT/FinalLinks/Daniels_V3.aspx,https://www.danielsmemorialhealthcare.org/financial-assistance/,271342,DANIELS MEMORIAL HOSPITAL
https://apps.para-hcfs.com/PTT/FinalLinks/East_Carroll_Parish_V3.aspx,https://www.ecphospital.com/,190208,EAST CARROLL PARISH HOSPITAL
https://apps.para-hcfs.com/PTT/FinalLinks/FHN-IL_V3.aspx,https://www.fhn.org/estimates-pricing.asp,140160,FHN MEMORIAL HOSPITAL
https://apps.para-hcfs.com/PTT/FinalLinks/Fairbanks_V2.aspx,https://www.foundationhealth.org/patients_and_visitors/bill_pay/price_transparency,020012,FAIRBANKS MEMORIAL HOSPITAL
https://apps.para-hcfs.com/PTT/FinalLinks/Fayette_V3.aspx,https://www.sblfch.org/about/hospital-charges/,140045,FAYETTE COUNTY HOSPITAL
https://apps.para-hcfs.com/PTT/FinalLinks/Frances_Mahon_V4.aspx,https://www.fmdh.org/patients-visitor-information/financial-resources/price-transparency-information/,271316,FRANCES MAHON DEACONESS HOSPITAL
https://apps.para-hcfs.com/PTT/FinalLinks/Fredonia_V3.aspx,https://frh1.org/,170018,FREDONIA REGIONAL HOSPITAL
https://apps.para-hcfs.com/PTT/FinalLinks/Greenwood_V3.aspx,https://www.gwch.org/,170032,GREENWOOD COUNTY HOSPITAL
https://apps.para-hcfs.com/PTT/FinalLinks/Guthrie_V3.aspx,https://guthriecountyhospital.org/,161314,GUTHRIE COUNTY HOSPITAL
https://apps.para-hcfs.com/PTT/FinalLinks/Hancock_V3.aspx,https://www.hancockregionalhospital.org/,441313,HANCOCK COUNTY HOSPITAL
https://apps.para-hcfs.com/PTT/FinalLinks/Hillsboro_V2.aspx,https://www.hillsboroareahospital.org/patient-billing/hospital-standard-charges/,141332,HILLSBORO AREA HOSPITAL
https://apps.para-hcfs.com/PTT/FinalLinks/Hodgeman_V3.aspx,https://hchconline.org/,171369,HODGEMAN COUNTY HEALTH CENTER
https://apps.para-hcfs.com/PTT/FinalLinks/Holland_V4.aspx,https://www.hollandhospital.org/,230072,HOLLAND COMMUNITY HOSPITAL
https://apps.para-hcfs.com/PTT/FinalLinks/Holton_V3.aspx,https://holtonhospital.com/hospital-care/hospital-pricing-charges/,171319,HOLTON COMMUNITY HOSPITAL
https://apps.para-hcfs.com/PTT/FinalLinks/Huron_V3.aspx,https://www.huronregional.org/,431335,HURON REGIONAL MEDICAL CENTER
https://apps.para-hcfs.com/PTT/FinalLinks/Jefferson_V3.aspx,https://jeffersonhealthcare.org/pricing-resources/,501323,JEFFERSON HEALTHCARE
https://apps.para-hcfs.com/PTT/FinalLinks/Jewell_V3.aspx,https://www.jewellcohospital.org/,171309,JEWELL COUNTY HOSPITAL
https://apps.para-hcfs.com/PTT/FinalLinks/Kiowa_V2.aspx,https://www.kchd.org/,061300,WEISBROD MEMORIAL COUNTY HOSPITAL
https://apps.para-hcfs.com/PTT/FinalLinks/LarkinCommunity.aspx,https://larkinhealth.com/en/patients-visitors/price-transparency-statement/,100181,LARKIN COMMUNITY HOSPITAL
https://apps.para-hcfs.com/PTT/FinalLinks/LarkinHollywood.aspx,https://larkinhealth.com/en/patients-visitors/price-transparency-statement/,104079,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SRVS
https://apps.para-hcfs.com/PTT/FinalLinks/LarkinPalmSprings.aspx,https://larkinhealth.com/en/patients-visitors/price-transparency-statement/,100050,LARKIN COMMUNITY HOSPITAL PALM SPRINGS CAMPUS
https://apps.para-hcfs.com/PTT/FinalLinks/LifeCare_V3.aspx,https://lifecaremedicalcenter.org/,241344,LIFECARE MEDICAL CENTER
https://apps.para-hcfs.com/PTT/FinalLinks/Lindsborg_V3.aspx,https://www.lindsborghospital.org/patients.php,171358,LINDSBORG COMMUNITY HOSPITAL
https://apps.para-hcfs.com/PTT/FinalLinks/Madison_V2.aspx,https://www.madisonhealth.com/financial-assistance/patient-billing/,160052,MADISON COUNTY MEMORIAL HOSPITAL
https://apps.para-hcfs.com/PTT/FinalLinks/Madonna_Omaha_V2.aspx,https://www.madonna.org/patient-resources/patient-financial-services,283026,MADONNA REHABILITATION HOSPITAL OMAHA
https://apps.para-hcfs.com/PTT/FinalLinks/Major_V2.aspx,https://www.mymhp.org/patients-guests/patient-resources/patient-portal/,150097,MAJOR HOSPITAL
https://apps.para-hcfs.com/PTT/FinalLinks/Manning_V2.aspx,https://www.mrhcia.com/,161332,MANNING REGIONAL HEALTHCARE CENTER
https://apps.para-hcfs.com/PTT/FinalLinks/MemorialSeward_V3.aspx,https://www.mhcs.us/,230121,MEMORIAL HEALTHCARE
https://apps.para-hcfs.com/PTT/FinalLinks/Mitchell_V3.aspx,https://www.mchks.com/,171375,MITCHELL COUNTY HOSPITAL HEALTH SYSTEMS
https://apps.para-hcfs.com/PTT/FinalLinks/Morris_V3.aspx,https://www.morrishospital.org/patients-visitors/patients/billing-insurance/,140101,MORRIS HOSPITAL & HEALTHCARE CENTERS
https://apps.para-hcfs.com/PTT/FinalLinks/Morrow_V3.aspx,https://www.morrowcountyhospital.com/cost-of-services,361313,MORROW COUNTY HOSPITAL
https://apps.para-hcfs.com/PTT/FinalLinks/Myrtue_V3.aspx,https://www.myrtuemedical.org/patients-visitors/pricing-information/,161374,MYRTUE MEDICAL CENTER
https://apps.para-hcfs.com/PTT/FinalLinks/Natividad_V2.aspx,https://www.natividad.com/insurance-and-billing/,050248,NATIVIDAD MEDICAL CENTER
https://apps.para-hcfs.com/PTT/FinalLinks/Neshoba_V3.aspx,https://www.neshobageneral.com/,250043,NESHOBA COUNTY GENERAL HOSPITAL
https://apps.para-hcfs.com/PTT/FinalLinks/Pondera_V2.aspx,https://www.logan.org/health/locations/logan-health-conrad/billing-and-payments,271324,PONDERA MEDICAL CENTER
https://apps.para-hcfs.com/PTT/FinalLinks/Orchard_V2.aspx,https://www.orchardhospital.com/,051311,ORCHARD HOSPITAL
https://apps.para-hcfs.com/PTT/FinalLinks/Ottawa_V3.aspx,http://www.ottawacountyhealthcenter.com/Patient-Information.html,171328,OTTAWA COUNTY HEALTH CENTER
https://apps.para-hcfs.com/PTT/FinalLinks/Phelps_V2.aspx,https://www.phelpsmemorial.com/,281362,PHELPS MEMORIAL HEALTH CENTER
https://apps.para-hcfs.com/PTT/FinalLinks/Phillips_V3.aspx,https://www.phillipshospital.org/,171353,PHILLIPS COUNTY HEALTH SYSTEMS
https://apps.para-hcfs.com/PTT/FinalLinks/Pulaski_V3.aspx,https://www.pmhnet.com/,151305,PULASKI MEMORIAL HOSPITAL
https://apps.para-hcfs.com/PTT/FinalLinks/Redlands_V3.aspx,https://www.redlandshospital.org/patient-visitors/for-patients/insurance-billing/pricing-transparency-charge-description-master/,050272,REDLANDS COMMUNITY HOSPITAL
https://apps.para-hcfs.com/PTT/FinalLinks/Refugio_V2.aspx,https://refugiohospital.com/,451317,REFUGIO COUNTY MEMORIAL HOSPITAL
https://apps.para-hcfs.com/PTT/FinalLinks/RW_V2.aspx,https://www.rwhs.org/about-your-bill,280061,REGIONAL WEST MEDICAL CENTER
https://apps.para-hcfs.com/PTT/FinalLinks/RegionalWestGarden.aspx,https://gchealth.org/,281310,REGIONAL WEST GARDEN COUNTY HOSPITAL
