app_url,transparency_page,ccn
https://apps.para-hcfs.com/PTT/FinalLinks/Quincy_V2.aspx,https://quincyhospital.org/patients/business-office/price-transparency,501320
https://apps.para-hcfs.com/PTT/FinalLinks/Cheyenne_V2.aspx,https://www.cheyennecountyhospital.com/patients_visitors/cms_price_transparency.aspx,171310
https://apps.para-hcfs.com/PTT/FinalLinks/Southern_Coos_V2.aspx,https://southerncoos.org/,381304
https://apps.para-hcfs.com/PTT/FinalLinks/Piggottcommunity.aspx,https://piggotthealthsystem.com/cost-of-care/,040045
https://apps.para-hcfs.com/PTT/FinalLinks/Kiowa_Memorial_V2.aspx,https://kcmh.net/standard-charges,171332
https://apps.para-hcfs.com/PTT/FinalLinks/Satanta_V2.aspx,https://www.satantahospital.net/,170139
https://apps.para-hcfs.com/PTT/FinalLinks/SusanBAllen_V2.aspx,http://www.sbamh.com/patients_info/billing_information,170017
https://apps.para-hcfs.com/PTT/FinalLinks/Johnson_V3.aspx,https://www.johnsonmemorial.org/price-estimates,070008
https://apps.para-hcfs.com/PTT/FinalLinks/Sampson_V2.aspx,https://www.sampsonrmc.org/billpay,340024
https://apps.para-hcfs.com/PTT/FinalLinks/Bingham_V2.aspx,https://www.binghammemorial.org/bmh-services/e-payments-online-billing,131325
https://apps.para-hcfs.com/PTT/FinalLinks/Perham_V2.aspx,https://www.perhamhealth.org/billing-financial-information/,241373
https://apps.para-hcfs.com/PTT/FinalLinks/Osmond_V3.aspx,https://osmondhospital.org/,281347
